order_id ,date
12315,"2016, 07, 24"
12605,"2016, 07, 30"
12995,"2016, 05, 08"
14212,"2016, 08, 25"
6805,"2016, 04, 24"
12658,"2016, 07, 30"
7207,"2016, 05, 01"
2627,"2016, 02, 13"
12123,"2016, 07, 22"
10871,"2016, 02, 07"
19648,"2016, 11, 30"
5203,"2016, 03, 29"
11591,"2016, 07, 13"
14741,"2016, 09, 04"
2604,"2016, 02, 13"
13696,"2016, 08, 16"
19910,"2016, 12, 04"
16829,"2016, 10, 13"
17216,"2016, 10, 20"
8669,"2016, 05, 25"
18947,"2016, 11, 19"
332,"2016, 01, 06"
12723,"2016, 07, 31"
17223,"2016, 10, 20"
5494,"2016, 04, 02"
15021,"2016, 09, 08"
20120,"2016, 12, 08"
17,"2016, 01, 01"
10710,"2016, 06, 29"
17028,"2016, 10, 15"
13034,"2016, 06, 08"
7525,"2016, 05, 07"
7887,"2016, 05, 13"
10502,"2016, 06, 25"
12780,"2016, 01, 08"
4125,"2016, 03, 11"
17568,"2016, 10, 27"
11876,"2016, 07, 17"
20069,"2016, 12, 07"
11372,"2016, 09, 07"
14965,"2016, 09, 07"
13284,"2016, 08, 10"
15410,"2016, 09, 15"
17926,"2016, 11, 01"
264,"2016, 01, 05"
10213,"2016, 06, 20"
15683,"2016, 09, 19"
18146,"2016, 06, 11"
12362,"2016, 07, 25"
10339,"2016, 06, 23"
9891,"2016, 06, 15"
1277,"2016, 01, 22"
15442,"2016, 09, 15"
14,"2016, 01, 01"
4506,"2016, 03, 17"
2383,"2016, 02, 09"
11032,"2016, 07, 04"
6324,"2016, 04, 16"
6148,"2016, 04, 13"
11795,"2016, 07, 16"
12024,"2016, 07, 20"
1109,"2016, 01, 19"
9202,"2016, 06, 03"
6663,"2016, 04, 22"
6202,"2016, 04, 14"
8231,"2016, 05, 18"
13543,"2016, 08, 14"
15929,"2016, 09, 23"
9873,"2016, 06, 15"
1446,"2016, 01, 24"
5839,"2016, 04, 08"
8620,"2016, 05, 24"
12717,"2016, 07, 31"
6478,"2016, 04, 19"
10968,"2016, 07, 03"
5355,"2016, 03, 31"
5708,"2016, 04, 06"
11690,"2016, 07, 14"
4427,"2016, 03, 16"
18684,"2016, 11, 15"
17373,"2016, 10, 22"
17157,"2016, 10, 17"
18046,"2016, 11, 04"
20869,"2016, 12, 20"
14097,"2016, 08, 23"
10920,"2016, 07, 02"
21251,"2016, 12, 30"
11764,"2016, 07, 16"
8959,"2016, 05, 30"
16205,"2016, 09, 30"
998,"2016, 01, 17"
9005,"2016, 05, 31"
5124,"2016, 03, 27"
6626,"2016, 04, 21"
11749,"2016, 07, 15"
493,"2016, 01, 08"
18689,"2016, 11, 15"
8840,"2016, 05, 28"
7393,"2016, 05, 04"
13417,"2016, 08, 12"
2256,"2016, 07, 02"
8623,"2016, 05, 24"
8259,"2016, 05, 18"
16153,"2016, 09, 29"
7895,"2016, 05, 13"
2074,"2016, 02, 04"
5132,"2016, 03, 27"
4100,"2016, 03, 10"
13745,"2016, 08, 17"
15238,"2016, 09, 12"
12826,"2016, 08, 02"
20174,"2016, 12, 09"
7719,"2016, 05, 10"
1567,"2016, 01, 27"
1760,"2016, 01, 30"
10742,"2016, 06, 29"
809,"2016, 01, 14"
12573,"2016, 07, 29"
1216,"2016, 01, 21"
21151,"2016, 12, 27"
12625,"2016, 07, 30"
13849,"2016, 08, 19"
15431,"2016, 09, 15"
8905,"2016, 05, 29"
1217,"2016, 01, 21"
8133,"2016, 05, 16"
19834,"2016, 12, 03"
15468,"2016, 09, 15"
13648,"2016, 08, 15"
18304,"2016, 11, 08"
645,"2016, 01, 11"
21343,"2016, 12, 31"
20078,"2016, 12, 07"
15517,"2016, 09, 16"
8896,"2016, 05, 29"
9879,"2016, 06, 15"
20199,"2016, 12, 09"
10554,"2016, 06, 26"
12705,"2016, 07, 31"
948,"2016, 01, 16"
14093,"2016, 08, 23"
16724,"2016, 10, 10"
16540,"2016, 10, 06"
10570,"2016, 06, 26"
16111,"2016, 09, 29"
11786,"2016, 07, 16"
4701,"2016, 03, 20"
13114,"2016, 08, 07"
20058,"2016, 12, 07"
8261,"2016, 05, 18"
6066,"2016, 04, 12"
17891,"2016, 11, 01"
10279,"2016, 06, 22"
12217,"2016, 07, 23"
6117,"2016, 04, 13"
4228,"2016, 03, 13"
6928,"2016, 04, 26"
18971,"2016, 11, 20"
13447,"2016, 08, 12"
5437,"2016, 04, 01"
13787,"2016, 08, 18"
8805,"2016, 05, 28"
10739,"2016, 06, 29"
6075,"2016, 04, 12"
18885,"2016, 11, 19"
15455,"2016, 09, 15"
2992,"2016, 02, 19"
6959,"2016, 04, 27"
8277,"2016, 05, 19"
6580,"2016, 04, 21"
6611,"2016, 04, 21"
249,"2016, 01, 04"
14215,"2016, 08, 25"
6451,"2016, 04, 18"
8246,"2016, 05, 18"
5571,"2016, 04, 04"
13196,"2016, 08, 08"
14923,"2016, 09, 07"
613,"2016, 01, 10"
2623,"2016, 02, 13"
20320,"2016, 12, 11"
9756,"2016, 06, 13"
10657,"2016, 06, 28"
19369,"2016, 11, 26"
13032,"2016, 06, 08"
2891,"2016, 02, 18"
19357,"2016, 11, 26"
11329,"2016, 07, 08"
9049,"2016, 01, 06"
12124,"2016, 07, 22"
11041,"2016, 07, 04"
11114,"2016, 04, 07"
5251,"2016, 03, 30"
3105,"2016, 02, 21"
14130,"2016, 08, 24"
13886,"2016, 08, 19"
13616,"2016, 08, 15"
11291,"2016, 08, 07"
16747,"2016, 10, 10"
7946,"2016, 05, 14"
10553,"2016, 06, 26"
12974,"2016, 08, 05"
5700,"2016, 04, 06"
12556,"2016, 07, 29"
7995,"2016, 05, 14"
9160,"2016, 03, 06"
6235,"2016, 04, 15"
9689,"2016, 06, 11"
11385,"2016, 07, 09"
15838,"2016, 09, 22"
8013,"2016, 05, 14"
12266,"2016, 07, 24"
1723,"2016, 01, 29"
18421,"2016, 11, 10"
13452,"2016, 08, 12"
8167,"2016, 05, 16"
6693,"2016, 04, 23"
4595,"2016, 03, 18"
14925,"2016, 09, 07"
7070,"2016, 04, 29"
15536,"2016, 09, 17"
8689,"2016, 05, 26"
16856,"2016, 10, 13"
367,"2016, 06, 01"
17566,"2016, 10, 27"
3588,"2016, 03, 02"
3667,"2016, 03, 03"
732,"2016, 01, 12"
5485,"2016, 04, 02"
7355,"2016, 05, 03"
13572,"2016, 08, 14"
17000,"2016, 10, 15"
18433,"2016, 11, 10"
534,"2016, 01, 09"
7027,"2016, 04, 28"
17433,"2016, 10, 23"
16974,"2016, 10, 15"
1417,"2016, 01, 24"
3168,"2016, 02, 22"
16056,"2016, 09, 27"
3973,"2016, 03, 08"
7728,"2016, 05, 10"
8286,"2016, 05, 19"
11588,"2016, 07, 13"
10411,"2016, 06, 24"
11453,"2016, 07, 10"
16055,"2016, 09, 27"
8370,"2016, 05, 20"
2042,"2016, 03, 02"
12816,"2016, 02, 08"
8866,"2016, 05, 29"
15997,"2016, 09, 27"
5285,"2016, 03, 30"
6864,"2016, 04, 25"
21183,"2016, 12, 28"
12350,"2016, 07, 25"
21178,"2016, 12, 27"
3101,"2016, 02, 21"
18839,"2016, 11, 18"
533,"2016, 01, 09"
17400,"2016, 10, 23"
7074,"2016, 04, 29"
1179,"2016, 01, 20"
10476,"2016, 06, 25"
14242,"2016, 08, 26"
669,"2016, 01, 11"
6408,"2016, 04, 18"
4099,"2016, 03, 10"
1939,"2016, 02, 02"
2010,"2016, 02, 03"
10388,"2016, 06, 24"
17871,"2016, 10, 31"
11543,"2016, 07, 12"
6552,"2016, 04, 20"
801,"2016, 01, 14"
5792,"2016, 04, 07"
12749,"2016, 08, 01"
883,"2016, 01, 15"
9840,"2016, 06, 14"
9377,"2016, 06, 06"
14371,"2016, 08, 28"
667,"2016, 01, 11"
18784,"2016, 11, 16"
13562,"2016, 08, 14"
9096,"2016, 06, 02"
19065,"2016, 11, 21"
15858,"2016, 09, 22"
1384,"2016, 01, 23"
12878,"2016, 03, 08"
13045,"2016, 08, 06"
9817,"2016, 06, 14"
16197,"2016, 09, 30"
3156,"2016, 02, 22"
2842,"2016, 02, 17"
12728,"2016, 07, 31"
20567,"2016, 12, 15"
13742,"2016, 08, 17"
8215,"2016, 05, 17"
8024,"2016, 05, 15"
19024,"2016, 11, 21"
5549,"2016, 04, 03"
8980,"2016, 05, 31"
6985,"2016, 04, 27"
1050,"2016, 01, 18"
20727,"2016, 12, 18"
2955,"2016, 02, 19"
11211,"2016, 07, 06"
8846,"2016, 05, 29"
9860,"2016, 06, 14"
2885,"2016, 02, 17"
10209,"2016, 06, 20"
6934,"2016, 04, 26"
2959,"2016, 02, 19"
1042,"2016, 01, 18"
3030,"2016, 02, 20"
10292,"2016, 06, 22"
9196,"2016, 06, 03"
19954,"2016, 12, 05"
6367,"2016, 04, 17"
11755,"2016, 07, 15"
20800,"2016, 12, 19"
8302,"2016, 05, 19"
5329,"2016, 03, 31"
3458,"2016, 02, 27"
6486,"2016, 04, 19"
11674,"2016, 07, 14"
9077,"2016, 06, 01"
12955,"2016, 04, 08"
10749,"2016, 06, 30"
5466,"2016, 04, 02"
6757,"2016, 04, 24"
8377,"2016, 05, 20"
9660,"2016, 06, 11"
12624,"2016, 07, 30"
7872,"2016, 05, 12"
13971,"2016, 08, 21"
16898,"2016, 10, 14"
5607,"2016, 04, 04"
14055,"2016, 08, 22"
1068,"2016, 01, 18"
10395,"2016, 06, 24"
17048,"2016, 10, 16"
2314,"2016, 02, 08"
11900,"2016, 07, 18"
14688,"2016, 09, 03"
15281,"2016, 09, 12"
10140,"2016, 06, 19"
1894,"2016, 02, 01"
5902,"2016, 09, 04"
2192,"2016, 02, 06"
21049,"2016, 12, 23"
18342,"2016, 11, 09"
3912,"2016, 03, 07"
8155,"2016, 05, 16"
9188,"2016, 03, 06"
21116,"2016, 12, 26"
18747,"2016, 11, 16"
7246,"2016, 05, 02"
3382,"2016, 02, 26"
6046,"2016, 12, 04"
4784,"2016, 03, 22"
7193,"2016, 05, 01"
15186,"2016, 09, 11"
14467,"2016, 08, 29"
3090,"2016, 02, 21"
1247,"2016, 01, 21"
12616,"2016, 07, 30"
15604,"2016, 09, 18"
3466,"2016, 02, 27"
5857,"2016, 04, 08"
14477,"2016, 08, 30"
20947,"2016, 12, 22"
7181,"2016, 05, 01"
4557,"2016, 03, 18"
5687,"2016, 06, 04"
7546,"2016, 07, 05"
20401,"2016, 12, 13"
15322,"2016, 09, 13"
6779,"2016, 04, 24"
6717,"2016, 04, 23"
20977,"2016, 12, 22"
8900,"2016, 05, 29"
17069,"2016, 10, 16"
13947,"2016, 08, 21"
2421,"2016, 02, 10"
571,"2016, 01, 10"
10842,"2016, 07, 01"
8124,"2016, 05, 16"
2245,"2016, 07, 02"
21027,"2016, 12, 23"
10015,"2016, 06, 17"
12721,"2016, 07, 31"
9320,"2016, 06, 05"
15862,"2016, 09, 22"
20493,"2016, 12, 14"
16885,"2016, 10, 14"
13425,"2016, 08, 12"
10706,"2016, 06, 29"
4482,"2016, 03, 17"
4488,"2016, 03, 17"
20029,"2016, 12, 06"
16837,"2016, 10, 13"
15551,"2016, 09, 17"
17886,"2016, 11, 01"
9493,"2016, 08, 06"
6423,"2016, 04, 18"
16513,"2016, 10, 06"
9088,"2016, 06, 01"
6071,"2016, 04, 12"
13623,"2016, 08, 15"
5795,"2016, 07, 04"
18310,"2016, 11, 08"
14412,"2016, 08, 28"
10715,"2016, 06, 29"
16306,"2016, 10, 01"
10858,"2016, 07, 01"
16506,"2016, 10, 06"
19002,"2016, 11, 20"
15746,"2016, 09, 20"
7555,"2016, 07, 05"
6175,"2016, 04, 14"
106,"2016, 01, 02"
4487,"2016, 03, 17"
16911,"2016, 10, 14"
1880,"2016, 02, 01"
9576,"2016, 10, 06"
18725,"2016, 11, 15"
18016,"2016, 03, 11"
3907,"2016, 03, 07"
9204,"2016, 06, 03"
19048,"2016, 11, 21"
6410,"2016, 04, 18"
8926,"2016, 05, 30"
5003,"2016, 03, 26"
6257,"2016, 04, 15"
15151,"2016, 10, 09"
11117,"2016, 07, 04"
3018,"2016, 02, 20"
15480,"2016, 09, 16"
17905,"2016, 11, 01"
7308,"2016, 05, 02"
7042,"2016, 04, 28"
19117,"2016, 11, 22"
8421,"2016, 05, 21"
13099,"2016, 08, 07"
16729,"2016, 10, 10"
17121,"2016, 10, 17"
10112,"2016, 06, 19"
7255,"2016, 05, 02"
11264,"2016, 07, 07"
9619,"2016, 06, 10"
7341,"2016, 05, 03"
12910,"2016, 03, 08"
19423,"2016, 11, 27"
1065,"2016, 01, 18"
16852,"2016, 10, 13"
4978,"2016, 03, 25"
11337,"2016, 07, 08"
6373,"2016, 04, 17"
387,"2016, 01, 07"
999,"2016, 01, 17"
16903,"2016, 10, 14"
9724,"2016, 06, 12"
1848,"2016, 02, 01"
3985,"2016, 03, 08"
5291,"2016, 03, 30"
5044,"2016, 03, 26"
7522,"2016, 05, 07"
7993,"2016, 05, 14"
10115,"2016, 06, 19"
16447,"2016, 10, 04"
16912,"2016, 10, 14"
18998,"2016, 11, 20"
19187,"2016, 11, 24"
17992,"2016, 11, 03"
19940,"2016, 12, 05"
12180,"2016, 07, 23"
6234,"2016, 04, 15"
21070,"2016, 12, 24"
15744,"2016, 09, 20"
6810,"2016, 04, 24"
15826,"2016, 09, 21"
17872,"2016, 10, 31"
17746,"2016, 10, 29"
13294,"2016, 08, 10"
